分區編號,投票站編號 ,地方選區,選民人數,累積投票率 Aggregate Voter Turnout Rate,,,,,,,,,,,,,,
District Code,Polling Station Code,"Geographical
Constituency",No. of Electors,08:30,09:30,10:30,11:30,12:30,13:30,14:30,15:30,16:30,17:30,18:30,19:30,20:30,21:30,22:30
D,D1401,LC1,"11,745 ",1.37%,4.43%,8.02%,11.40%,13.58%,16.43%,18.77%,22.26%,24.03%,27.21%,30.11%,33.12%,36.74%,40.44%,45.28%
D,D1501,LC1,"2,729 ",1.39%,3.48%,5.53%,9.34%,12.20%,15.54%,18.58%,21.73%,25.61%,28.95%,32.98%,36.46%,40.60%,44.16%,49.73%
D,D1502,LC1,"5,823 ",1.01%,3.02%,6.46%,9.82%,12.11%,14.63%,19.15%,22.00%,25.06%,28.65%,31.84%,35.39%,40.56%,43.35%,49.99%
D,D1601,LC1,"1,639 ",0.67%,2.68%,5.00%,8.24%,12.45%,15.07%,17.63%,22.09%,25.69%,29.23%,32.70%,36.36%,38.68%,41.43%,46.61%
D,D1602,LC1,"1,494 ",0.94%,2.68%,4.69%,7.50%,11.85%,15.06%,17.34%,22.02%,26.17%,28.45%,31.93%,35.27%,39.96%,44.18%,49.40%
D,D1701,LC1,"6,469 ",1.16%,4.67%,6.96%,10.85%,13.62%,17.08%,20.10%,22.72%,25.00%,28.13%,30.85%,34.43%,37.86%,41.91%,46.24%
D,D1702,LC1,"1,183 ",1.61%,5.16%,7.44%,12.43%,17.24%,19.19%,21.89%,24.26%,26.97%,30.09%,33.81%,38.38%,42.01%,48.86%,54.18%
E,E0101,LC2,"1,844 ",0.98%,1.95%,3.69%,5.42%,8.62%,10.85%,14.10%,17.25%,20.07%,23.32%,25.76%,28.63%,33.13%,35.63%,39.26%
E,E0102,LC2,"2,958 ",0.91%,2.27%,3.99%,7.13%,11.26%,15.92%,19.71%,23.09%,28.13%,33.10%,38.00%,42.22%,46.52%,50.81%,58.25%
E,E0201,LC2,"7,122 ",1.19%,3.16%,6.26%,9.93%,12.76%,15.42%,18.59%,21.62%,24.68%,27.87%,30.92%,34.25%,38.08%,40.55%,45.09%
E,E0301,LC2,"9,616 ",0.42%,1.94%,4.45%,7.26%,9.95%,12.06%,14.53%,17.37%,20.15%,22.78%,25.53%,28.75%,31.60%,34.15%,37.06%
