,Counts
"('29/05/2014-543', 'Present')",7
"('29/05/2014-469', 'Present')",7
"('28/05/2015-494', 'Present')",7
"('29/05/2014-535', 'Present')",7
"('16/05/2013-514', 'Present')",7
"('29/05/2014-509', 'Present')",7
"('21/05/2015-293', 'Present')",7
"('29/05/2014-454', 'Present')",7
"('29/05/2014-546', 'Present')",7
"('29/05/2014-456', 'Present')",7
"('29/05/2014-476', 'Present')",7
"('29/05/2014-516', 'Present')",7
"('21/05/2015-111', 'Present')",7
"('23/05/2014-64', 'Present')",7
"('29/05/2014-460', 'Present')",7
"('27/05/2015-477', 'Present')",7
"('29/05/2014-536', 'Present')",7
"('29/05/2014-503', 'Present')",7
"('22/05/2015-353', 'Present')",7
"('23/05/2014-78', 'Present')",7
"('29/05/2014-622', 'Present')",7
"('30/05/2014-713', 'Present')",7
"('04/06/2014-1008', 'Present')",7
"('22/05/2015-369', 'Present')",7
"('29/05/2014-448', 'Present')",7
"('29/05/2014-433', 'Present')",7
"('23/05/2014-72', 'Present')",7
"('21/05/2015-120', 'Present')",7
"('29/05/2014-497', 'Present')",7
"('30/05/2014-727', 'Present')",7
"('28/05/2014-271', 'Present')",7
"('29/05/2014-624', 'Present')",7
"('29/05/2014-488', 'Present')",7
"('30/05/2014-762', 'Present')",7
"('29/05/2014-680', 'Present')",7
"('29/05/2014-438', 'Present')",7
"('22/05/2015-354', 'Present')",7
"('16/05/2013-494', 'Present')",7
"('28/05/2014-162', 'Present')",7
"('29/05/2014-593', 'Present')",7
"('11/05/2016-18', 'Present')",7
"('29/05/2014-437', 'Present')",7
"('29/05/2014-612', 'Present')",7
"('28/05/2014-283', 'Present')",7
"('21/05/2015-221', 'Present')",7
"('12/05/2016-278', 'Present')",7
"('22/05/2015-404', 'Present')",7
"('30/05/2014-777', 'Present')",7
"('30/05/2014-855', 'Present')",7
"('23/05/2014-77', 'Present')",7
"('28/05/2014-342', 'Present')",7
"('28/05/2015-498', 'Present')",7
"('21/05/2015-178', 'Present')",7
"('29/05/2014-420', 'Present')",7
"('29/05/2014-552', 'Present')",7
"('30/05/2014-878', 'Present')",7
"('21/05/2015-140', 'Present')",7
"('28/05/2014-332', 'Present')",7
"('29/05/2014-490', 'Present')",7
"('16/05/2013-678', 'Present')",7
"('30/05/2014-715', 'Present')",7
"('21/05/2015-314', 'Present')",7
"('29/05/2014-627', 'Present')",7
"('29/05/2014-495', 'Present')",7
"('21/05/2015-144', 'Present')",7
"('29/05/2014-515', 'Present')",7
"('21/05/2015-311', 'Present')",7
"('28/05/2014-331', 'Present')",7
